65,3,3
67,3,3
68,2,3
70,3,2
72,2,2
74,2,2
75,1,1
76,1,0
75,2,0
76,3,0
77,2,0
77,4,0
78,4,0
82,6,0
81,5,0
83,8,0
84,9,0
86,12,0
87,13,1
90,15,1
92,14,1
93,16,0
95,17,0
99,20,1
103,22,1
107,24,2
109,27,2
113,29,3
114,31,3
113,34,1
114,36,0
115,37,0
119,40,1
121,42,1
122,44,1
125,47,1
127,46,1
128,48,1
132,50,3
133,51,4
135,50,4
135,54,3
138,55,4
141,54,4
144,55,4
144,56,2
147,57,2
148,59,2
150,60,3
149,59,0
152,61,0
161,68,5
164,70,5
165,68,4
166,70,4
167,71,5
169,72,4
169,73,3
172,74,2
177,78,4
178,80,4
180,80,2
182,83,3
184,83,4
187,84,5
188,86,4
191,86,5
190,82,1
191,83,1
192,84,2
193,86,1
196,87,2
200,88,4
203,90,4
205,90,3
207,92,5
207,91,4
211,92,6
212,93,7
212,94,5
213,96,5
214,98,4
213,97,3
215,98,7
217,97,7
216,100,6
219,100,7
218,102,8
220,102,7
221,104,7
221,104,5
223,107,6
223,108,4
223,108,3
223,111,5
223,112,4
224,113,5
222,114,3
222,116,3
220,117,1
219,118,2
217,119,1
218,120,2
217,122,2
217,124,3
215,124,3
216,128,4
214,128,4
212,128,3
211,129,4
208,131,5
206,132,6
200,133,6
195,134,6
192,135,6
185,135,5
182,136,5
178,136,5
175,137,5
173,138,5
169,139,4
164,140,4
157,144,6
154,144,7
150,145,6
149,146,8
145,145,7
143,148,9
140,147,12
136,147,13
136,150,18
131,152,20
128,152,22
123,154,23
121,155,25
118,156,27
115,156,29
109,156,33
104,159,42
96,161,46
92,162,48
88,164,53
83,164,55
79,168,59
73,168,63
66,169,64
63,172,70
58,171,73
54,173,75
52,174,80
50,175,83
50,176,87
47,177,88
43,178,92
39,181,98
35,182,102
32,183,104
31,183,107
30,185,111
28,186,115
25,186,116
22,187,119
23,191,125
19,191,127
15,191,131
12,192,134
12,193,138
12,195,139
9,195,141
10,196,142
9,198,143
10,198,146
10,199,147
12,201,150
11,201,152
11,202,157
10,203,160
10,202,161
13,204,169
13,205,174
11,204,177
10,205,179
11,207,184
11,207,185
11,208,186
8,209,188
7,212,190
6,212,193
4,212,194
6,214,196
5,215,199
6,215,201
5,216,202
5,216,203
6,217,208
6,216,210
5,216,212
3,216,213
4,216,216
5,217,217
3,217,218
4,217,221
6,216,222
6,215,223
6,215,225
6,214,226
6,213,228
6,213,229
7,214,230
7,213,231
7,212,233
7,211,234
7,211,236
9,210,237
9,207,236
9,206,238
9,205,239
9,204,238
9,203,240
10,202,239
12,201,240
14,202,243
17,202,246
15,200,244
16,198,244
16,197,243
18,196,245
15,195,244
17,193,246
13,188,245
14,185,247
13,183,247
14,181,248
14,179,248
14,178,250
15,176,250
17,178,254
18,176,254
17,174,254
18,172,255
19,168,254
18,167,253
17,166,254
19,166,252
16,161,246
18,161,246
17,160,245
17,158,245
17,155,245
18,153,245
19,151,245
20,150,247
23,150,249
27,148,252
28,146,252
27,142,253
28,140,252
26,138,252
27,136,252
28,134,252
32,131,253
35,129,252
33,126,251
34,122,252
32,117,249
33,114,249
33,111,248
37,107,250
38,102,250
41,100,250
40,96,251
42,93,250
42,89,251
43,85,252
41,83,250
45,81,253
45,75,253
48,72,254
48,69,254
47,66,253
45,61,251
47,58,250
46,54,251
49,52,251
48,45,248
51,43,250
52,41,251
55,39,254
56,38,253
58,37,254
59,35,253
60,34,254
62,28,252
64,28,252
63,27,251
64,27,251
65,25,250
66,26,251
68,26,251
68,27,249
71,27,250
71,27,252
72,28,253
72,28,251
72,29,250
73,27,247
73,28,245
74,30,245
76,32,245
77,34,245
79,37,246
79,38,243
81,41,243
85,46,246
86,47,246
88,51,245
90,53,245
92,56,246
94,59,247
96,62,247
97,63,247
99,66,247
100,68,246
100,72,245
102,75,245
105,79,249
107,82,250
107,86,249
108,87,249
109,90,247
108,92,247
108,96,246
111,99,247
115,105,249
118,108,252
119,112,251
118,114,250
116,115,248
115,117,247
115,121,248
118,124,249
120,127,250
123,131,250
125,135,249
126,137,249
125,137,245
126,139,243
129,144,244
132,148,245
135,151,247
138,155,248
140,158,249
141,159,248
146,166,253
146,170,254
150,172,254
152,175,255
155,179,255
158,183,255
160,186,255
163,191,255
160,191,252
162,195,251
167,200,250
168,202,248
171,206,249
174,210,250
178,213,253
177,213,251
182,213,252
183,215,251
184,216,252
185,217,252
187,219,254
190,221,254
194,222,252
202,223,250
211,223,247
220,221,241
