31,17,28
15,5,11
7,0,3
9,3,4
10,5,4
13,5,6
15,2,10
20,1,16
29,2,22
35,3,28
38,0,30
44,1,38
50,2,44
55,1,48
60,1,52
64,0,54
70,2,61
74,3,66
81,3,74
84,2,77
88,3,83
92,4,88
95,3,92
99,2,96
104,2,103
110,2,108
119,5,118
122,4,123
128,4,128
129,2,131
134,1,135
138,1,139
142,2,143
147,4,150
160,9,159
162,8,163
165,7,167
170,8,173
172,7,176
176,6,179
183,6,185
191,7,191
192,0,191
199,1,197
204,2,203
209,2,208
215,2,212
219,2,217
224,6,221
228,7,223
227,5,219
226,5,215
223,5,213
223,3,209
222,3,207
220,3,202
217,3,198
216,4,194
218,8,192
216,8,186
214,8,180
213,9,175
208,9,167
208,10,165
205,8,160
205,7,155
203,3,150
201,3,145
198,1,141
198,2,138
200,3,135
200,3,131
196,2,125
195,3,120
190,0,112
188,0,106
188,2,102
187,2,98
186,3,94
184,2,90
181,3,86
182,5,84
176,1,74
172,1,69
171,2,65
170,1,63
170,4,59
170,3,54
168,2,49
165,1,42
163,1,36
164,1,32
163,3,27
162,3,23
160,2,18
160,2,14
158,3,10
154,3,6
147,0,0
147,4,1
148,9,0
149,13,1
151,16,0
152,21,1
152,27,0
153,32,0
159,39,3
158,42,1
161,50,2
164,54,2
165,58,1
167,63,4
169,66,3
171,72,4
175,78,4
178,83,4
179,88,7
182,92,7
185,97,7
187,103,8
189,109,8
190,115,7
185,113,1
187,119,0
189,125,1
192,129,1
193,134,1
194,139,2
196,142,1
199,148,1
202,155,3
203,160,3
206,165,2
206,168,2
210,174,4
212,178,4
215,184,3
216,188,3
219,193,2
220,199,0
223,204,0
227,210,0
229,213,0
230,217,1
230,222,1
231,225,6
229,227,8
225,224,6
220,221,5
215,217,3
209,215,4
206,212,3
198,208,2
195,205,4
190,203,5
185,199,4
179,196,3
173,193,4
168,192,4
165,189,3
159,185,1
156,183,3
147,176,0
144,172,0
138,169,0
135,167,2
129,162,1
125,160,2
118,156,2
113,154,3
105,150,3
97,145,3
89,141,3
83,139,4
80,137,5
77,134,5
71,129,4
68,125,2
69,125,6
68,123,8
63,119,6
58,116,4
52,110,2
48,107,2
43,103,2
38,102,3
31,97,2
26,95,4
21,93,3
16,89,3
9,86,2
5,83,0
3,80,0
0,79,0
0,80,3
4,88,10
6,91,16
6,95,21
7,97,24
3,100,26
1,101,29
3,105,34
3,108,41
4,111,48
4,115,53
4,118,58
5,121,62
6,123,66
5,125,70
3,127,75
4,129,79
5,133,84
7,137,90
6,140,94
7,142,98
5,147,102
4,149,105
9,157,117
9,160,121
7,162,125
6,164,128
3,165,130
3,167,132
3,170,137
1,172,140
1,175,145
1,180,149
4,185,154
7,189,159
6,192,163
6,192,168
4,197,171
2,198,176
1,200,179
0,202,185
1,207,189
0,209,195
0,212,199
1,215,204
3,218,209
4,221,214
9,226,221
9,228,224
9,230,226
11,229,228
7,225,225
6,219,223
3,216,220
5,213,219
2,207,215
2,202,214
2,198,210
3,192,207
4,188,206
3,182,203
1,178,199
3,173,197
6,168,196
8,164,194
7,159,190
8,154,189
7,150,188
7,145,187
5,141,183
6,137,181
9,134,184
12,130,182
9,125,178
9,120,176
9,115,176
8,111,174
6,106,171
5,100,170
4,95,170
4,91,171
2,87,167
0,82,163
1,80,161
2,75,159
3,70,155
3,66,154
6,61,152
6,57,149
6,52,147
6,48,144
7,44,142
8,40,139
5,35,136
6,31,133
7,27,134
4,22,129
2,17,127
1,13,125
1,9,122
1,6,121
1,4,119
4,6,124
5,6,126
5,6,128
4,6,130
5,7,132
4,8,133
5,8,136
4,10,137
7,10,138
8,11,139
9,12,140
10,13,141
12,15,143
11,17,144
13,18,147
14,20,147
15,20,149
16,21,153
17,22,154
17,24,157
18,25,158
21,28,161
19,25,160
22,30,167
23,30,169
24,31,172
25,31,174
26,32,175
26,30,178
31,35,184
32,35,187
32,37,189
32,37,190
33,38,193
33,38,195
36,41,198
34,41,198
37,44,201
36,45,202
35,47,203
38,47,204
42,49,206
44,50,209
45,52,209
50,55,212
51,56,211
53,62,213
58,65,214
60,68,215
64,72,216
68,76,219
73,80,221
78,85,226
83,88,227
87,90,228
89,93,228
93,97,229
98,101,229
103,108,230
108,112,230
111,117,230
115,121,228
118,125,228
122,127,229
124,131,228
127,134,227
132,137,228
136,140,228
145,146,232
150,151,232
154,156,234
157,160,235
161,162,236
168,167,239
170,172,237
176,176,240
175,176,236
179,180,238
183,186,237
189,190,240
194,194,242
197,197,243
200,201,245
204,206,247
202,204,244
205,208,246
209,214,247
215,218,249
218,222,250
222,226,250
228,232,251
233,236,251
234,236,246
